CID,FNAME1,LNAME,ADDRESS,APT,CITY,STATE,ZIP,HAREA,HPHONE,YTD,PRICETBL,FIRSTDATE,EMAIL,pay_method,LASTDATE,InfoChangeDate
1000001,Melissa,Wang,6327 Underwood Drive Apt. 641,Apt. 954,West Roseside,UT,54680,363,5786616,0,STANDARD,2004-06-11 00:00:00.000,wangmelissa@gmail.com,Charge,2025-08-14 10:31:06.000,2025-05-14 13:17:07.000
1000002,Katrina,Perez,9099 Mary Mews,Suite 539,North William,LA,94116,1,3324857,39.7,STANDARD,2006-11-09 00:00:00.000,kperez@hotmail.com,Charge,2025-07-15 11:28:10.000,2025-07-16 12:06:21.000
1000056,James,Miller,48088 Harmon Point Suite 283,Apt. 313,Jessicamouth,MN,33406,1,6117226,0,STANDARD,2006-12-12 00:00:00.000,jamesmiller365@yahoo.com,Cash,2025-08-24 15:35:33.000,2025-08-24 15:32:23.000
1000096,Jose,Hatfield,894 Betty Expressway,Apt. 866,Smithton,HI,99184,1,8822653,4.1,STANDARD,2006-12-15 00:00:00.000,joseh@hotmail.com,CASH,2025-05-16 11:56:20.000,NULL
1000147,Martin,Miranda,52421 Ryan Inlet Suite 284,Suite 663,West Morgan,DC,73953,306,2723357,0,STANDARD,2006-12-16 00:00:00.000,mmiranda@hotmail.com,CASH,2025-08-24 11:39:00.000,NULL
1000150,Mitchell,Fowler,259 Oliver Hill Apt. 717,Apt. 000,Michaelport,WV,77130,682,8535018,6.2,STANDARD,2007-07-11 00:00:00.000,mitchellf@yahoo.com,Cash,2025-08-12 11:46:38.000,2025-06-10 11:39:14.000
1000181,Stephanie,White,9009 Gregory Ville Apt. 373,Apt. 242,Kellyborough,OR,52245,452,5139262,0,STANDARD,1991-09-07 00:00:00.000,stephaniew@yahoo.com,CASH,2025-08-18 10:12:57.000,NULL
1000219,Christy,Patel,59645 Mary Valleys,Apt. 339,Cooperview,IN,19427,736,9580654,0,STANDARD,2005-12-01 00:00:00.000,christy.patel@yahoo.com,CASH,2025-05-20 09:04:52.000,NULL
1000290,Walter,Jones,27603 Crawford Plains,Suite 631,South Brianton,MA,58015,1,7455700,55.4,STANDARD,2002-04-05 00:00:00.000,wjones@hotmail.com,Cash,2025-08-11 14:17:31.000,2025-08-11 14:16:30.000
1000301,Tyler,Hester,1254 Donna Landing Suite 574,Suite 985,South Cameronport,NM,93056,187,2927361,19.4,STANDARD,2006-01-12 00:00:00.000,hester.tyler@yahoo.com,CASH,2025-08-19 13:35:00.000,NULL
1000446,Kenneth,Lutz,1238 Billy Shoal Apt. 083,Apt. 530,Jonathanfort,OH,34285,810,9752154,12,STANDARD,2007-01-03 00:00:00.000,kennethlutz@hotmail.com,Charge,2025-01-27 10:07:23.000,2020-10-02 14:48:22.000
1000449,Doris,Chandler,515 Melissa Roads Suite 193,Apt. 583,Wandaland,OR,14272,406,4825657,34.25,STANDARD,2007-01-04 00:00:00.000,doris_chandler@yahoo.com,Charge,2025-08-24 10:58:04.000,2025-08-21 11:55:47.000
1000491,Andrew,Franco,8530 Delacruz Pines Suite 897,Suite 465,Robinberg,NM,13342,280,8947256,0,STANDARD,2006-02-09 00:00:00.000,francoandrew@yahoo.com,CASH,2025-08-23 11:05:13.000,NULL
1000584,Jennifer,Williams,21292 Sherman Glens,Suite 610,South Georgemouth,NH,24632,646,7403634,0,STANDARD,2006-02-20 00:00:00.000,jennifer_williams@gmail.com,CASH,2025-08-19 13:33:39.000,NULL
1000714,Deanna,Walls,9479 Diane Skyway,Apt. 068,Reynoldshaven,ND,69790,624,2393186,68.9,STANDARD,2025-01-08 14:31:02.000,deannawalls@yahoo.com,Cash,2025-07-11 10:34:14.000,2025-03-11 11:11:00.000
1000722,William,Webb,86625 Mark Divide,Suite 402,North Brandi,MH,59298,341,7922207,7,STANDARD,2007-01-22 00:00:00.000,williamwebb@yahoo.com,CASH,2025-01-16 14:31:03.000,NULL
